State,Abbr,2018_Population,2020_Population,,
Alabama,AL,4934190,5024279,,
Alaska,AK,724357,733391,,
Arizona,AZ,7520100,7151502,,
Arkansas,AR,3033950,3011524,,
California,CA,39613500,39538223,,
Colorado,CO,5893630,5773714,,
Connecticut,CT,3552820,3605944,,
Delaware,DE,990334,989948,,
District of Columbia,DC,714153,689545,,
Florida,FL,21944600,21538187,,
Georgia,GA,10830000,10711908,,
Hawaii,HI,1406430,1455271,,
Idaho,ID,1860120,1839106,,
Illinois,IL,12569300,12812508,,
Indiana,IN,6805660,6785528,,
Iowa,IA,3167970,3190369,,
Kansas,KS,2917220,2937880,,
Kentucky,KY,4480710,4505836,,
Louisiana,LA,4627000,4657757,,
Maine,ME,1354520,1362359,,
Maryland,MD,6065440,6177224,,
Massachusetts,MA,6912240,7029917,,
Michigan,MI,9992430,10077331,,
Minnesota,MN,5706400,5706494,,
Mississippi,MS,2966410,2961279,,
Missouri,MO,6169040,6154913,,
Montana,MT,1085000,1084225,,
Nebraska,NE,1952000,1961504,,
Nevada,NV,3185790,3104614,,
New Hampshire,NH,1372200,1377529,,
New Jersey,NJ,8874520,9288994,,
New Mexico,NM,2105000,2117522,,
New York,NY,19300000,20201249,,
North Carolina,NC,10701000,10439388,,
North Dakota,ND,770026,779094,,
Ohio,OH,11714600,11799448,,
Oklahoma,OK,3990440,3959353,,
Oregon,OR,4289440,4237256,,
Pennsylvania,PA,12804100,13002700,,
Puerto Rico,PR,3194370,3285874,,
Rhode Island,RI,1061510,1097379,,
South Carolina,SC,5277830,5118425,,
South Dakota,SD,896581,886667,,
Tennessee,TN,6944260,6910840,,
Texas,TX,29730300,29145505,,
Utah,UT,3310770,3271616,,
Vermont,VT,623251,643077,,
Virginia,VA,8603980,8631393,,
Washington,WA,7796940,7705281,,
West Virginia,WV,1767860,1793716,,
Wisconsin,WI,5852490,5893718,,
Wyoming,WY,581075,576851,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
